,company_index,name,category_list,funding_total_usd,status,region,funding_rounds,founded_at
1,1,:Qounter,Application Platforms|Real Time|Social Network Media,700000,1,North America,2,2014-09-04
3,2,0-6.com,Curated Web,2000000,1,Asia,1,2007-01-01
6,3,Ondine Biomedical Inc.,Biotechnology,762851,1,North America,2,1997-01-01
7,4,H2O.ai,Analytics,33600000,1,North America,4,2011-01-01
8,5,One Inc.,Mobile,1150050,1,North America,3,2011-08-01
9,6,"1,2,3 Listo",E-Commerce,40000,1,South America,1,2012-01-01
13,7,1-800-DOCTORS,Health and Wellness,1750000,1,North America,1,1984-01-01
14,8,"1-800-PublicRelations, Inc.",Internet Marketing|Media|Public Relations,6000000,1,North America,1,2013-10-24
15,9,1 Mainstream,Apps|Cable|Distribution|Software,5000000,1,North America,1,2012-03-01
16,10,1 of 99,Entertainment|Games,100000,1,North America,1,2014-12-01
17,11,10-20 Media,E-Commerce,2050000,1,North America,4,2001-01-01
18,12,10 Minutes With,Education,4400000,1,Europe,2,2013-01-01
19,13,1000 Corks,Search,40000,1,North America,1,2008-01-01
20,14,1000 Markets,Art|E-Commerce|Marketplaces,500000,1,North America,1,2009-01-01
23,15,1000memories,Curated Web,2535000,1,North America,2,2010-07-01
24,16,1000museums.com,Curated Web,6795451,1,North America,9,2008-01-01
25,17,ZenChef,Local Businesses|Restaurants,10661772,1,Europe,5,2010-11-20
26,18,1001pharmacies.com,Cosmetics|Marketplaces,8900000,1,Europe,1,2012-01-01
27,19,1006.tv,Games|Media,10000000,1,Asia,3,2009-01-01
30,20,Redox,Health Care|Health Care Information Technology|Hospitals,4000000,1,North America,2,2014-07-04
31,21,100Plus,Analytics,1250000,1,North America,2,2011-09-16
32,22,1010data,Software,35000000,1,North America,1,2000-01-01
34,23,10BestThings,Curated Web,50000,0,North America,1,2009-04-01
36,24,10sec,E-Commerce|Mobile Commerce|Social Commerce,1600000,1,North America,2,2013-07-08
37,25,10seconds Software,Enterprise Software|Mobility|Software,100000,1,Oceania,1,2009-07-01
40,26,10X Genomics,Biotechnology|Technology,55000000,1,North America,1,2012-01-01
41,27,10X Technologies,Biotechnology,3550000,1,North America,2,2012-01-01
42,28,10X10 Room,Software,77500,1,North America,1,2010-01-01
46,29,117go,Social Travel,20000000,1,Asia,1,2011-10-01
48,30,12 Labs,Health and Wellness|Personal Health,935000,1,North America,1,2014-08-01
52,31,121cast,Audio|Mobile|Music,440000,1,Oceania,3,2012-02-01
53,32,121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000,1,North America,6,2011-10-07
55,33,123ContactForm,E-Commerce|SaaS,1000000,1,Europe,2,2008-01-01
59,34,1248,Software,378812,1,Europe,1,2013-01-01
60,35,128 Technology,Service Providers|Technology,11999347,1,North America,1,2014-07-07
61,36,12Bis,Publishing|Services,130636,1,Europe,1,2008-01-01
63,37,12Return,Consumer Goods|Retail|SaaS|Software,619494,1,Europe,1,2010-12-10
65,38,1366 Technologies,Manufacturing,71450000,1,North America,9,2007-01-01
67,39,13th Lab,Augmented Reality|Computer Vision|Games|iPad|Mobile,700000,1,Europe,1,2010-01-01
68,40,140 Proof,Advertising|Big Data Analytics|Interest Graph,5500000,1,North America,2,2010-01-11
69,41,140Fire,Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000,1,North America,1,2010-01-01
72,42,15Five,Software,3400000,1,North America,3,2011-05-01
75,43,16 Mile Solutions,Software,199957,1,North America,1,2006-01-01
76,44,169 ST.,Entertainment|Games,50000,0,North America,1,2009-05-15
78,45,16WiFi,Public Transportation,16000000,1,Asia,1,2011-01-01
80,46,170 Systems,Software,14000000,1,North America,1,1990-01-01
81,47,17hats,Internet,5250000,1,North America,2,2014-01-01
82,48,17u.cn,Travel,84440319,1,Asia,3,2004-01-01
83,49,17zuoye,Education|Language Learning,135000000,1,North America,5,2007-01-01
